  c =    0.100000000000000E+03
                             0.127835936658130E-03     0.654746286000793E-02   8
    50.00000000000000        0.322490249805249E+00     0.898128113496562E+01
                             0.187002044557123E+00     0.574373525319546E+01  12
    60.00000000000000       -0.244572019899443E-01    -0.538248179411417E+02
                             0.973645737968002E+00    -0.452588932362810E+02  11
    70.00000000000000       -0.109787695443737E+01    -0.383500442565493E+02
                             0.816396214441822E-01    -0.649320462391678E+02  11
    80.00000000000000        0.893756424340769E+00     0.501021873853795E+02
                            -0.624210655435831E+00     0.618933549368499E+02  12
    90.00000000000000       -0.123143836114784E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.723528584604060E+02  12
 l =     19
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.494545463321564E-07     0.307624530836931E-05
                             0.155062977863627E-07     0.986471045081448E-06   4
    40.00000000000000        0.781186975021444E-03     0.372190842898690E-01
                             0.322964283962630E-03     0.159724351292991E-01   9
    50.00000000000000        0.522426817756817E+00     0.129273073407514E+02
                             0.322490249805250E+00     0.898128113496562E+01  12
    60.00000000000000       -0.982415739200363E+00    -0.423767323978508E+02
                            -0.244572019899440E-01    -0.538248179411417E+02  11
    70.00000000000000       -0.123604768763827E+01     0.258630321354962E+02
                            -0.109787695443737E+01    -0.383500442565493E+02  12
    80.00000000000000        0.107149587052978E+01    -0.364496211488677E+02
                             0.893756424340769E+00     0.501021873853795E+02  12
    90.00000000000000        0.000000000000000E+00     0.737408963209248E+02
                            -0.123143836114784E+01     0.000000000000000E+00  12
 l =     20
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.152017098001450E-06     0.923765424638153E-05
                             0.494545464179525E-07     0.307624530606550E-05   5
    40.00000000000000        0.181011300652797E-02     0.828636398744280E-01
                             0.781186975021365E-03     0.372190842898724E-01   9
    50.00000000000000        0.792596976760544E+00     0.169073006551076E+02
                             0.522426817756817E+00     0.129273073407514E+02  12
    60.00000000000000       -0.150377990163711E+01    -0.106111308859107E+02
                            -0.982415739200363E+00    -0.423767323978508E+02  12
    70.00000000000000       -0.198384370535235E+00     0.673186596787513E+02
                            -0.123604768763827E+01     0.258630321354962E+02  12
    80.00000000000000       -0.323762239512921E+00    -0.701762993617372E+02
                             0.107149587052978E+01    -0.364496211488677E+02  12
    90.00000000000000        0.119402056323491E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.737408963209248E+02  12
 l =     21
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.556932006036934E-11     0.386716520737325E-09
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.450764400401860E-06     0.267335597595514E-04
                             0.152017098918272E-06     0.923765425745331E-05   5
    40.00000000000000        0.401938781258236E-02     0.176255436599076E+00
                             0.181011300652646E-02     0.828636398744329E-01  10
    50.00000000000000        0.112101577703051E+01     0.196257761401703E+02
                             0.792596976760549E+00     0.169073006551076E+02  12
    60.00000000000000       -0.131596522830019E+01     0.296947035322897E+02
                            -0.150377990163711E+01    -0.106111308859107E+02  12
    70.00000000000000        0.100326368461311E+01     0.422459441371616E+02
                            -0.198384370535234E+00     0.673186596787512E+02  12
    80.00000000000000       -0.119940329424800E+01     0.178763054173219E+01
                            -0.323762239512922E+00    -0.701762993617371E+02  11
    90.00000000000000        0.000000000000000E+00    -0.749373370501634E+02
                             0.119402056323491E+01     0.000000000000000E+00  12
 l =     22
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.202303870973962E-10     0.137898380701022E-08
                             0.556967397788615E-11     0.386703907440079E-09   1
    30.00000000000000        0.129032326139789E-05     0.746088008978047E-04
                             0.450764400656003E-06     0.267335597804010E-04   6
    40.00000000000000        0.855409513014258E-02     0.358044514994184E+00
                             0.401938781258083E-02     0.176255436599072E+00  10
    50.00000000000000        0.146797015275613E+01     0.192383842196907E+02
                             0.112101577703052E+01     0.196257761401703E+02  12
    60.00000000000000       -0.468727415079292E+00     0.577564550594143E+02
                            -0.131596522830019E+01     0.296947035322896E+02  12
    70.00000000000000        0.115995892161175E+01    -0.275346935309576E+02
                             0.100326368461311E+01     0.422459441371616E+02  12
    80.00000000000000       -0.258599356639175E+00     0.723513667069887E+02
                            -0.119940329424800E+01     0.178763054173221E+01  11
    90.00000000000000       -0.116025006001758E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.749373370501633E+02  12
 l =     23
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.712281988074189E-10     0.476360356723747E-08
                             0.202301737398839E-10     0.137897800466679E-08   2
    30.00000000000000        0.356782366060393E-05     0.200901687277408E-03
                             0.129032326149928E-05     0.746088009007466E-04   6
    40.00000000000000        0.174463787621736E-01     0.694104505154014E+00
                             0.855409513014236E-02     0.358044514994190E+00  10
    50.00000000000000        0.176089801422885E+01     0.137959017818920E+02
                             0.146797015275613E+01     0.192383842196906E+02  12
    60.00000000000000        0.611545902227853E+00     0.548705164052279E+02
                            -0.468727415079292E+00     0.577564550594143E+02  12
    70.00000000000000        0.111688916593117E+00    -0.701003781653879E+02
                             0.115995892161175E+01    -0.275346935309576E+02  11
    80.00000000000000        0.104639313879279E+01     0.325847274493210E+02
                            -0.258599356639175E+00     0.723513667069887E+02  12
    90.00000000000000        0.000000000000000E+00     0.759660122360665E+02
